Year Awarded,Name,Affiliation,HPCWire Bio/Interview,Wikipedia Link,Affiliation Link
2021,Bill Magro,Google,https://www.hpcwire.com/people-to-watch-2021/,,https://en.wikipedia.org/wiki/Google
2021,Jim Keller,Tenstorrent,https://www.hpcwire.com/people-to-watch-2021/,https://en.wikipedia.org/wiki/Jim_Keller_(engineer),
2021,Nash Palaniswamy,Intel,https://www.hpcwire.com/people-to-watch-2021/,,https://en.wikipedia.org/wiki/Intel
2021,Debra Goldfarb,Amazon,https://www.hpcwire.com/people-to-watch-2021/,,https://en.wikipedia.org/wiki/Amazon_(company)
2021,Pete Manca,Dell,https://www.hpcwire.com/people-to-watch-2021/,,https://en.wikipedia.org/wiki/Dell
2021,Justin Hotard,HPE,https://www.hpcwire.com/people-to-watch-2021/,https://en.wikipedia.org/wiki/Justin_Hotard,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise
2021,Anders Dam Jensen,European High-Performance Computing Joint Undertaking,https://www.hpcwire.com/people-to-watch-2021/,,https://en.wikipedia.org/wiki/European_High-Performance_Computing_Joint_Undertaking
2022,Keren Bergman,Columbia University,https://www.hpcwire.com/people-to-watch-2022/2/,https://en.wikipedia.org/wiki/Keren_Bergman,https://en.wikipedia.org/wiki/Columbia_University
2022,Sven Breuner,VAST Data,https://www.hpcwire.com/people-to-watch-2022/3/,,https://en.wikipedia.org/wiki/VAST_Data
2022,Candace Culhane,Los Alamos National Laboratory,https://www.hpcwire.com/people-to-watch-2022/4/,,https://en.wikipedia.org/wiki/Los_Alamos_National_Laboratory
2022,Eric Eppe,Atos,https://www.hpcwire.com/people-to-watch-2022/5/,,https://en.wikipedia.org/wiki/Atos
2022,Jay Gambetta,IBM,https://www.hpcwire.com/people-to-watch-2022/6/,https://en.wikipedia.org/wiki/Jay_Gambetta,https://en.wikipedia.org/wiki/IBM
2022,Lydia Kavraki,Rice University,https://www.hpcwire.com/people-to-watch-2022/7/,https://en.wikipedia.org/wiki/Lydia_Kavraki,https://en.wikipedia.org/wiki/Rice_University
2022,Thomas Lippert,Julich Supercomputing Center,https://www.hpcwire.com/people-to-watch-2022/8/,,https://en.wikipedia.org/wiki/Forschungszentrum_J%C3%BClich
2022,Jeff McVeigh,Intel,https://www.hpcwire.com/people-to-watch-2022/9/,,https://en.wikipedia.org/wiki/Intel
2022,Bronson Messer,Oak Ridge National Laboratory,https://www.hpcwire.com/people-to-watch-2022/10/,,https://en.wikipedia.org/wiki/Oak_Ridge_National_Laboratory
2022,Eric Monchalin,Atos,https://www.hpcwire.com/people-to-watch-2022/11/,,https://en.wikipedia.org/wiki/Atos
2022,Calista Redmond,RISC-V,https://www.hpcwire.com/people-to-watch-2022/12/,https://en.wikipedia.org/wiki/Calista_Redmond,https://en.wikipedia.org/wiki/RISC-V
2022,Katherine Riley,Argonne National Laboratory,https://www.hpcwire.com/people-to-watch-2022/13/,,https://en.wikipedia.org/wiki/Argonne_National_Laboratory
2023,Dorian C. Arnold,Emory University,https://www.hpcwire.com/people-to-watch-2023-dorian-c-arnold/,,https://en.wikipedia.org/wiki/Emory_University
2023,Nidhi Chappell,Microsoft,https://www.hpcwire.com/people-to-watch-2023-nidhi-chappell/,,https://en.wikipedia.org/wiki/Microsoft
2023,Trish Damkroger,HPE,https://www.hpcwire.com/people-to-watch-2023-trish-damkroger/,,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise
2023,Travis Humble,Oak Ridge National Laboratory,https://www.hpcwire.com/people-to-watch-2023-travis-humble/,,https://en.wikipedia.org/wiki/Oak_Ridge_National_Laboratory
2023,Marco Pistoia,JPMorgan Chase & Co.,https://www.hpcwire.com/people-to-watch-2023-marco-pistoia/,,https://en.wikipedia.org/wiki/JPMorgan_Chase
2023,Terri Quinn,Lawrence Livermore National Laboratory,https://www.hpcwire.com/people-to-watch-2023-terri-quinn/,,https://en.wikipedia.org/wiki/Lawrence_Livermore_National_Laboratory
2023,Sandra L. Rivera,Intel,https://www.hpcwire.com/people-to-watch-2023-sandra-l-rivera/,,https://en.wikipedia.org/wiki/Intel
2023,Laura Schulz,Leibniz Supercomputing Centre,https://www.hpcwire.com/people-to-watch-2023-laura-schulz/,,https://en.wikipedia.org/wiki/Leibniz_Supercomputing_Centre
2023,Horst Simon,ADIA Lab,https://www.hpcwire.com/people-to-watch-2023-horst-simon/,https://en.wikipedia.org/wiki/Horst_D._Simon,https://en.wikipedia.org/wiki/Abu_Dhabi_Investment_Authority
2023,Rick Stevens,Argonne National Laboratory,https://www.hpcwire.com/people-to-watch-2023-rick-stevens/,https://en.wikipedia.org/wiki/Rick_Stevens,https://en.wikipedia.org/wiki/Argonne_National_Laboratory
2023,Mark Stickells,Pawsey Supercomputing Research Centre,https://www.hpcwire.com/people-to-watch-2023-mark-stickells/,,https://en.wikipedia.org/wiki/Pawsey_Supercomputing_Centre
2023,Mateo Valero,Barcelona Supercomputing Center,https://www.hpcwire.com/people-to-watch-2023-mateo-valero/,https://en.wikipedia.org/wiki/Mateo_Valero,https://en.wikipedia.org/wiki/Barcelona_Supercomputing_Center
2024,Katie Antypas,National Science Foundation,https://www.hpcwire.com/people-to-watch-2024-katie-antypas/,,https://en.wikipedia.org/wiki/National_Science_Foundation
2024,David Flynn,Hammerspace,https://www.hpcwire.com/people-to-watch-2024-david-flynn/,,
2024,Todd Gamblin,Lawrence Livermore National Laboratory,https://www.hpcwire.com/people-to-watch-2024-todd-gamblin/,,https://en.wikipedia.org/wiki/Lawrence_Livermore_National_Laboratory
2024,Raj Hazra,Quantinuum,https://www.hpcwire.com/people-to-watch-2024-raj-hazra/,,https://en.wikipedia.org/wiki/Quantinuum
2024,Justin Hotard,Intel,https://www.hpcwire.com/people-to-watch-2024-justin-hotard/,https://en.wikipedia.org/wiki/Justin_Hotard,https://en.wikipedia.org/wiki/Intel
2024,Dieter Kranzlmüller,Leibniz Supercomputing Centre,https://www.hpcwire.com/people-to-watch-2024-dieter-kranzlmuller/,,https://en.wikipedia.org/wiki/Leibniz_Supercomputing_Centre
2024,Yann Lecun,Meta,https://www.hpcwire.com/people-to-watch-2024-yann-lecun/,https://en.wikipedia.org/wiki/Yann_LeCun,https://en.wikipedia.org/wiki/Meta_Platforms
2024,Celia Merzbacher,Quantum Economic Development Consortium (QED-C),https://www.hpcwire.com/people-to-watch-2024-celia-merzbacher/,,
2024,Calista Redmond,RISC-V International,https://www.hpcwire.com/people-to-watch-2024-calista-redmond/,https://en.wikipedia.org/wiki/Calista_Redmond,https://en.wikipedia.org/wiki/RISC-V
2024,Philip Roth,Oak Ridge National Laboratory,https://www.hpcwire.com/people-to-watch-2024-philip-roth/,,https://en.wikipedia.org/wiki/Oak_Ridge_National_Laboratory
2024,Happy Sithole,National Integrated Cyber-Infrastructure System,https://www.hpcwire.com/people-to-watch-2024-happy-sithole/,,
2024,Gina Tourassi,Oak Ridge National Laboratory,https://www.hpcwire.com/people-to-watch-2024-gina-tourassi/,https://en.wikipedia.org/wiki/Georgia_Tourassi,https://en.wikipedia.org/wiki/Oak_Ridge_National_Laboratory
2025,Charlie Catlett,Argonne National Laboratory,https://www.hpcwire.com/people-to-watch-2025-charlie-catlett/,https://en.wikipedia.org/wiki/Charlie_Catlett,https://en.wikipedia.org/wiki/Argonne_National_Laboratory
2025,Ken Claffey,VDURA,https://www.hpcwire.com/people-to-watch-2025-ken-claffey/,,https://en.wikipedia.org/wiki/VDURA
2025,Lori Diachin,Lawrence Livermore National Laboratory,https://www.hpcwire.com/people-to-watch-2025-lori-diachin/,https://en.wikipedia.org/wiki/Lori_Diachin,https://en.wikipedia.org/wiki/Lawrence_Livermore_National_Laboratory
2025,Jack Hidary,SandboxAQ,https://www.hpcwire.com/people-to-watch-2025-jack-hidary/,https://en.wikipedia.org/wiki/Jack_Hidary,
2025,Daniel Katz,University of Illinois Urbana-Champaign,https://www.hpcwire.com/people-to-watch-2025-daniel-katz/,,https://en.wikipedia.org/wiki/University_of_Illinois_Urbana-Champaign
2025,Yutong Lu,Sun Yat-sen University,https://www.hpcwire.com/people-to-watch-2025-yutong-lu/,,https://en.wikipedia.org/wiki/Sun_Yat-sen_University
2025,Hartmut Neven,Google,https://www.hpcwire.com/people-to-watch-2025-hartmut-neven/,https://en.wikipedia.org/wiki/Hartmut_Neven,https://en.wikipedia.org/wiki/Google
2025,Thierry Pellegrino,AWS,https://www.hpcwire.com/people-to-watch-2025-thierry-pellegrino/,,https://en.wikipedia.org/wiki/Amazon_Web_Services
2025,Amanda Randles,Duke University,https://www.hpcwire.com/people-to-watch-2025-amanda-randles/,https://en.wikipedia.org/wiki/Amanda_Randles,https://en.wikipedia.org/wiki/Duke_University
2025,Lisa Su,AMD,https://www.hpcwire.com/people-to-watch-2025-lisa-su/,https://en.wikipedia.org/wiki/Lisa_Su,https://en.wikipedia.org/wiki/AMD
2025,Krysta Svore,Microsoft,https://www.hpcwire.com/people-to-watch-2025-krysta-svore/,https://en.wikipedia.org/wiki/Krysta_Svore,https://en.wikipedia.org/wiki/Microsoft
2025,Mateo Valero,Barcelona Supercomputing Center,https://www.hpcwire.com/people-to-watch-2025-mateo-valero/,https://en.wikipedia.org/wiki/Mateo_Valero,https://en.wikipedia.org/wiki/Barcelona_Supercomputing_Center
